,Classification,Date of case,Last change,Reference,Country,Type,Product Category / Subject
,mercury (1.7 mg/kg - ppm) in frozen swordfish from Indonesia
50.,information for attention,11/06/2015,24/08/2015,2015.0744,France,food,fish and fish products
,mercury (1.1 mg/kg - ppm) in chilled red porgy (Pagrus pagrus) from Morocco
51.,information for attention,11/06/2015,22/07/2015,2015.0743,Italy,food,fish and fish products
,mercury (1.3 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain
52.,information for attention,11/06/2015,22/07/2015,2015.0739,Italy,food,fish and fish products
,mercury (1.4 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain
53.,information for attention,09/06/2015,14/07/2015,2015.0717,France,food,fish and fish products
,mercury (1.915 mg/kg - ppm) in chilled swordfish loins from Spain
54.,information for attention,09/06/2015,09/07/2015,2015.0715,Netherlands,food,fish and fish products
,mercury (1.522 mg/kg - ppm) in chilled swordfish from Spain
55.,alert,08/06/2015,11/08/2015,2015.0706,Italy,food,fish and fish products
,mercury (1.7 mg/kg - ppm) in swordfish (Xiphias gladius) from Spain
56.,alert,08/06/2015,13/07/2015,2015.0710,Italy,food,fish and fish products
,mercury (1.55 mg/kg - ppm) in chilled vacuum packed swordfish fillets (Xiphias gladius) from Spain
57.,information for attention,02/06/2015,03/08/2015,2015.0673,Spain,food,cephalopods and products thereof
,cadmium (1.411 mg/kg - ppm) in frozen clean baby squid (Loligo duvauceli) from India
58.,alert,01/06/2015,01/09/2015,2015.0658,Netherlands,food,"dietetic foods, food supplements, fortified foods"
,"lead (55 mg/kg - ppm) in zeolite powder from Germany, packaged in the Netherlands"
59.,information for attention,01/06/2015,08/07/2015,2015.0665,Italy,food,fish and fish products
,mercury (1.612; 2.099 mg/kg - ppm) in chilled swordfish (Xiphias glaudius) from Spain
60.,alert,01/06/2015,30/06/2015,2015.0660,Sweden,food,"dietetic foods, food supplements, fortified foods"
,"mercury (0.5 mg/kg - ppm) in five-flavour berry (Schisandra chinensis) from Singapore, via the Netherlands"
61.,alert,19/05/2015,07/07/2015,2015.0604,Italy,food,fish and fish products
,mercury (2.1 mg/kg - ppm) in chilled swordfish (Xiphias gladius) from Spain
62.,alert,08/05/2015,13/08/2015,2015.0569,Spain,food,fish and fish products
,"mercury (3.1 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Portugal, with raw material from Spain"
63.,information for attention,07/05/2015,19/05/2015,2015.0556,Lithuania,food,fruits and vegetables
,lead (0.92 mg/kg - ppm) in frozen bilberries (Vaccinium myrtillus) from Belarus
64.,information for attention,05/05/2015,19/05/2015,2015.0547,United Kingdom,food,"dietetic foods, food supplements, fortified foods"
,arsenic (14.2 mg/kg - ppm) in edible therapeutic clay from the United States
65.,information for attention,04/05/2015,13/07/2015,2015.0543,Italy,food,fish and fish products
,mercury (1.2 mg/kg - ppm) in swordfish loins from Spain
66.,border rejection,28/04/2015,28/04/2015,2015.ATU,United Kingdom,food,other food product / mixed
,"arsenic (11.7 mg/kg - ppm) and lead (8.3 mg/kg - ppm) in, attempt to illegally import calabash chalk from Ghana"
67.,information for attention,22/04/2015,12/06/2015,2015.0510,Ireland,food,"dietetic foods, food supplements, fortified foods"
,too high content of chromium (15.2 mg/kg - ppm) in food supplements from Hungary
68.,alert,22/04/2015,30/04/2015,2015.0507,Belgium,food,"dietetic foods, food supplements, fortified foods"
,mercury (0.14 mg/kg - ppm) in food supplement from Germany
69.,information for attention,22/04/2015,29/04/2015,2015.0506,Belgium,food,"dietetic foods, food supplements, fortified foods"
,high content of lead (43.8 mg/kg - ppm) in food supplement from India
70.,alert,22/04/2015,22/04/2015,2015.0505,Belgium,food,"dietetic foods, food supplements, fortified foods"
,"mercury (1.37 mg/kg - ppm) in food supplement from India, via the Netherlands"
71.,alert,20/04/2015,30/04/2015,2015.0495,Belgium,food,fish and fish products
,mercury (2.4 mg/kg - ppm) in frozen swordfish fillets from Vietnam
72.,border rejection,17/04/2015,22/04/2015,2015.ARL,Italy,food,cephalopods and products thereof
,cadmium (1.30 mg/kg - ppm) in frozen European squid (Loligo vulgaris) from Iran
73.,border rejection,15/04/2015,18/05/2015,2015.AQW,Spain,food,cephalopods and products thereof
,cadmium (1.6 mg/kg - ppm) in frozen jumbo squid (Dosidicus gigas) from China
74.,alert,10/04/2015,12/05/2015,2015.0457,Netherlands,food,"dietetic foods, food supplements, fortified foods"
,mercury (826 µg/kg - ppb) in food supplements from South Korea
75.,alert,08/04/2015,22/06/2015,2015.0441,Poland,food,fish and fish products
,mercury (1.835 mg/kg - ppm) in frozen shark steak from Spain and Namibia
76.,information for attention,02/04/2015,24/06/2015,2015.0422,Switzerland,food,fish and fish products
,mercury (2.5 mg/kg - ppm) in frozen marlin steak from Vietnam
77.,information for attention,02/04/2015,10/06/2015,2015.0425,Italy,food,fish and fish products
,mercury (1.4 mg/kg - ppm) in chilled swordfish loins from Spain
78.,information for attention,01/04/2015,04/06/2015,2015.0407,France,food,fish and fish products
,mercury (2 mg/kg - ppm) in frozen swordfish steaks (Xiphias gladius) from Sri Lanka
79.,alert,27/03/2015,24/04/2015,2015.0377,Switzerland,food,fruits and vegetables
,"tin (339 mg/kg - ppm) in loquats (Eriobotrya japonica) from China, via Germany"
80.,border rejection,26/03/2015,31/03/2015,2015.ANJ,Poland,food,fruits and vegetables
,lead (0.38 mg/kg - ppm) in frozen raspberries from Ukraine
81.,information for attention,25/03/2015,24/04/2015,2015.0364,Italy,food,fish and fish products
,mercury (2.06 mg/kg - ppm) in chilled swordfish fillets (Xiphias gladius) from Spain
82.,information for attention,25/03/2015,24/04/2015,2015.0362,Italy,food,fish and fish products
,mercury (1.8 mg/kg - ppm) in chilled swordfish fillets (Xiphias gladius) from Spain
83.,alert,20/03/2015,08/04/2015,2015.0341,Belgium,food,fish and fish products
,"mercury (2.5 mg/kg - ppm) in frozen swordfish from Spain, with raw material from Indonesia"
84.,alert,10/03/2015,05/05/2015,2015.0290,Italy,food,fish and fish products
,mercury (2.34 mg/kg - ppm) in chilled  vacuum packed swordfish from Spain
85.,alert,06/03/2015,05/05/2015,2015.0275,Italy,food,fish and fish products
,mercury (1.6 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Spain
86.,information for attention,03/03/2015,13/05/2015,2015.0257,France,food,fish and fish products
,cadmium (1.233 mg/kg - ppm) in frozen dried anchovy from Thailand
87.,border rejection,03/03/2015,06/03/2015,2015.AJT,Italy,food,cereals and bakery products
,lead (0.47 mg/kg - ppm) in durum wheat from India
88.,alert,26/02/2015,05/05/2015,2015.0233,Italy,food,fish and fish products
,cadmium (0.22 mg/kg - ppm) in canned tuna from Italy
89.,border rejection,17/02/2015,12/03/2015,2015.0182,Italy,food,fish and fish products
,mercury (1.3 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrinchus) from South Africa
90.,alert,13/02/2015,14/08/2015,2015.0157,Spain,food,fish and fish products
,mercury (1.1; 1.2 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Spain
91.,alert,12/02/2015,13/04/2015,2015.0150,Czech Republic,food,fish and fish products
,mercury (1.9 mg/kg - ppm) in frozen black marlin steak from Spain
92.,alert,12/02/2015,13/04/2015,2015.0151,Czech Republic,food,fish and fish products
,"cadmium (0.12 mg/kg - ppm) and mercury (3.1 mg/kg - ppm) in frozen black marlin steaks from Spain, packaged in the Czech Republic"
93.,alert,09/02/2015,18/02/2015,2015.0142,Spain,food,fish and fish products
,mercury (2; 1.4 mg/kg - ppm) in frozen swordfish from Spain
94.,information for attention,02/02/2015,02/02/2015,2015.0121,Belgium,food,"dietetic foods, food supplements, fortified foods"
,mercury (0.46 mg/kg - ppm) in food supplements from China
95.,information for attention,26/01/2015,31/03/2015,2015.0083,Italy,food,bivalve molluscs and products thereof
,cadmium (1.42 mg/kg - ppm) in frozen clams from Chile
96.,information for attention,22/01/2015,24/02/2015,2015.0072,France,food,fish and fish products
,mercury (1.26 mg/kg - ppm) in frozen swordfish fillets from Vietnam
97.,alert,21/01/2015,31/03/2015,2015.0065,Italy,food,fish and fish products
,"mercury (1.418 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Portugal, with raw material from Spain"
98.,alert,19/01/2015,23/03/2015,2015.0058,Italy,food,fish and fish products
,mercury (1.42 mg/kg - ppm) in frozen swordfish from Spain
99.,alert,12/01/2015,26/03/2015,2015.0032,Italy,food,fish and fish products
,mercury (3.7 mg/kg - ppm) in frozen sliced swordfish (Xiphias gladius) from Portugal
100.,alert,30/12/2014,28/01/2015,2014.1780,Italy,food,fish and fish products
,mercury (1.4 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain
101.,alert,26/12/2014,05/05/2015,2014.1774,Italy,food,fish and fish products
,mercury (1.2 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Portugal
102.,information for follow-up,23/12/2014,23/07/2015,2014.1772,Germany,food,fish and fish products
,"cadmium (0.099 mg/kg - ppm) in sardines from Thailand, via the Czech Republic"
103.,information for attention,23/12/2014,02/07/2015,2014.1762,Italy,food,cephalopods and products thereof
,cadmium (1.9 mg/kg - ppm) in frozen whole cleaned cuttlefish from Thailand
104.,alert,23/12/2014,07/04/2015,2014.1767,Italy,food,fish and fish products
,"mercury (2.31 mg/kg - ppm) in frozen skinless smoothhound shark (Mustelus mustelus) with raw material from Senegal, packaged in Spain, via Portugal"
105.,alert,23/12/2014,12/03/2015,2014.1768,Italy,food,fish and fish products
,"mercury (1.2 mg/kg - ppm) in frozen swordfish from Portugal, with raw material from Spain"
106.,alert,17/12/2014,09/01/2015,2014.1714,Italy,food,meat and meat products (other than poultry)
,"cadmium (0.36 mg/kg - ppm) in chilled horse meat from Romania, via Belgium"
107.,alert,08/12/2014,13/07/2015,2014.1678,Germany,food,"dietetic foods, food supplements, fortified foods"
,"high content of zinc (100 mg/kg - ppm) in food supplement from the United States, via Hungary"
108.,alert,24/11/2014,15/12/2014,2014.1601,Romania,food,meat and meat products (other than poultry)
,cadmium (0.33 mg/kg - ppm) in horse meat from Romania
109.,border rejection,20/11/2014,20/11/2014,2014.BVA,Netherlands,food,meat and meat products (other than poultry)
,lead (3.3 mg/kg - ppm) in frozen hares (Lepus spp.) from Argentina
110.,alert,19/11/2014,06/01/2015,2014.1571,Czech Republic,food,fruits and vegetables
,cadmium (0.95 mg/kg - ppm) and lead (0.7 mg/kg - ppm) in carrots from Poland
111.,information for attention,17/11/2014,17/12/2014,2014.1554,Germany,food,fish and fish products
,mercury (1.18 mg/kg - ppm) in chilled swordfish (Xiphias glladius) from Chile
112.,alert,14/11/2014,18/09/2015,2014.1537,Slovenia,food,cephalopods and products thereof
,cadmium (2.1 mg/kg - ppm) in frozen squid from Spain
113.,information for attention,14/11/2014,30/06/2015,2014.1539,Norway,food,crustaceans and products thereof
,cadmium (1.8 mg/kg - ppm) in dried shrimps from Thailand
114.,alert,13/11/2014,19/12/2014,2014.1531,Denmark,food,fish and fish products
,mercury (0.55 - 1.5 mg/kg - ppm) in frozen skinless boneless blue shark loins (Prionace glauca) from Spain
115.,information for attention,13/11/2014,14/11/2014,2014.1534,Slovenia,food,"dietetic foods, food supplements, fortified foods"
,mercury (0.22 mg/kg - ppm) in food supplement from China
116.,information for attention,12/11/2014,28/08/2015,2014.1525,Italy,food,cephalopods and products thereof
,cadmium (3.3 mg/kg - ppm) in frozen whole cuttlefish (Sepia pharaonis) from Thailand
117.,alert,11/11/2014,15/12/2014,2014.1516,Italy,food,fish and fish products
,mercury (2.2 mg/kg - ppm) in frozen swordfish from Portugal
118.,information for attention,06/11/2014,11/11/2014,2014.1496,France,food,crustaceans and products thereof
,cadmium (4.189 mg/kg - ppm) in chilled cooked crab (Cancer pagurus) from Ireland
119.,alert,05/11/2014,30/06/2015,2014.1492,Germany,food,fish and fish products
,"cadmium (0.12 mg/kg - ppm) in canned sardines from Thailand, via the Czech Republic"
120.,information for attention,03/11/2014,08/01/2015,2014.1479,Czech Republic,food,fish and fish products
,"cadmium (0.071 mg/kg - ppm) and mercury (5.4 mg/kg - ppm) in chilled vacuum-packed smoked marlin slices from Vietnam, via Italy and via Slovakia"
121.,alert,03/11/2014,08/12/2014,2014.1478,Czech Republic,food,fish and fish products
,"mercury (2.4 mg/kg - ppm) in smoked tuna slices from Italy, via Slovakia"
122.,information for attention,03/11/2014,04/11/2014,2014.1482,Italy,food,fish and fish products
,lead (0.49 mg/kg - ppm) and mercury (2.33 mg/kg - ppm) in chilled sea bream (Sparus aurata) from Greece
123.,information for attention,29/10/2014,18/12/2014,2014.1460,Italy,food,fish and fish products
,mercury (1.2 mg/kg - ppm) in chilled swordfish from Spain
124.,information for follow-up,29/10/2014,19/11/2014,2014.1455,Sweden,food,food additives and flavourings
,arsenic (3.8 mg/kg - ppm) in E 331 - trisodium citrate from China
125.,alert,28/10/2014,10/02/2015,2014.1452,Italy,food,fish and fish products
,mercury (2.4 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Portugal
126.,alert,24/10/2014,28/01/2015,2014.1443,Italy,food,fish and fish products
,"mercury (1.1 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain, with raw material from Brazil"
127.,information for attention,24/10/2014,27/11/2014,2014.1444,Spain,food,fish and fish products
,mercury (1.338 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Indonesia
128.,alert,23/10/2014,01/04/2015,2014.1438,Spain,food,fish and fish products
,mercury (2.06 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain
129.,alert,20/10/2014,28/01/2015,2014.1421,Czech Republic,food,meat and meat products (other than poultry)
,lead (0.18 mg/kg - ppm) in pate with pheasant and venison meat from Germany
130.,information for attention,17/10/2014,01/12/2014,2014.1419,France,food,fish and fish products
,mercury (1.24 mg/kg - ppm) in fresh swordfish (Xiphias gladius) from Ecuador
131.,information for attention,15/10/2014,14/01/2015,2014.1408,Italy,food,cephalopods and products thereof
,cadmium (2.32 mg/kg - ppm) in frozen cuttlefish from India
132.,alert,15/10/2014,12/12/2014,2014.1404,Italy,food,cephalopods and products thereof
,cadmium (1.15 mg/kg - ppm) in frozen whole Patagonian squid (Loligo patagonica) from Spain
133.,alert,15/10/2014,07/11/2014,2014.1405,Belgium,food,"dietetic foods, food supplements, fortified foods"
,arsenic (43 mg/kg - ppm) in food supplement (Laminaria flexicaulis) from France
134.,alert,09/10/2014,02/12/2014,2014.1377,Italy,food,fish and fish products
,"mercury (1.4 mg/kg - ppm) in frozen swordfish fillets from Spain, with raw material from Brazil"
135.,alert,08/10/2014,20/10/2014,2014.1371,Spain,food,fish and fish products
,mercury (1.5 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain
136.,information for attention,08/10/2014,08/10/2014,2014.1368,Italy,food,gastropods
,cadmium (2.22 mg/kg - ppm) in chilled purple dye murex (Murex brandaris) and banded dye-murex (Murex trunculus) from Italy
137.,border rejection,07/10/2014,29/10/2014,2014.BOA,France,food,bivalve molluscs and products thereof
,cadmium (1.73 mg/kg - ppm) in frozen mussels from Chile
138.,alert,03/10/2014,22/12/2014,2014.1355,Sweden,food,"dietetic foods, food supplements, fortified foods"
,"mercury (0.161 mg/kg - ppm) in food supplement from China, via Hong Kong and via the Netherlands"
139.,information for attention,03/10/2014,21/10/2014,2014.1350,Italy,food,fish and fish products
,mercury (1.79 mg/kg - ppm) in chilled swordfish from Spain
140.,information for attention,03/10/2014,10/10/2014,2014.1353,Italy,food,gastropods
,cadmium (3.13 mg/kg - ppm) in purple dye murex (Murex brandaris) from Italy
141.,alert,01/10/2014,30/10/2014,2014.1333,Italy,food,fish and fish products
,mercury (1.9 mg/kg - ppm) in frozen swordfish slices and loin cuts (Xiphias gladius) from Spain
142.,alert,30/09/2014,25/03/2015,2014.1327,Italy,food,fish and fish products
,mercury (2.461 mg/kg - ppm) in frozen blue shark slices (Prionace glauca) from Spain
143.,alert,26/09/2014,26/02/2015,2014.1318,Italy,food,fish and fish products
,mercury (2.1 mg/kg - ppm) in chilled yellowfin tuna steaks (Thunnus albacares) from Spain
144.,information for attention,22/09/2014,26/09/2014,2014.1307,France,food,fish and fish products
,cadmium (0.076 mg/kg - ppm) in John Dory (Zeus faber) from Morocco
145.,alert,16/09/2014,27/01/2015,2014.1283,Italy,food,meat and meat products (other than poultry)
,"cadmium (0.51 mg/kg - ppm) in chilled horse meat from Romania, via Belgium"
146.,border rejection,15/09/2014,24/09/2014,2014.BMD,Cyprus,food,fish and fish products
,mercury (1.6 mg/kg - ppm) in chilled sea bream (Pagrus pagrus) from Egypt
147.,information for attention,12/09/2014,14/04/2015,2014.1271,Italy,food,fish and fish products
,mercury (1.4 mg/kg - ppm) in tuna (Thunnus alalunga) from Spain
148.,information for attention,12/09/2014,12/09/2014,2014.1274,Italy,food,fish and fish products
,mercury (0.85 mg/kg - ppm) in frozen john dory (Zeus faber) from Tunisia
149.,border rejection,11/09/2014,20/05/2015,2014.BLP,Spain,food,fish and fish products
,mercury (0.75 mg/kg - ppm) in frozen barracuda fillets (Sphyraena barracuda) from Senegal
150.,border rejection,11/09/2014,12/09/2014,2014.BLR,Cyprus,food,fish and fish products
,mercury (0.73 mg/kg - ppm) in chilled sea bream (Dentex dentex) from Egypt
151.,information for attention,10/09/2014,24/09/2014,2014.1269,Italy,food,fish and fish products
,mercury (1.93 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from South Korea
152.,information for attention,08/09/2014,03/11/2014,2014.1251,Italy,food,fish and fish products
,mercury (1.74 mg/kg - ppm) in chilled yellowfin tuna loins from Spain
153.,information for attention,08/09/2014,24/09/2014,2014.1253,Italy,food,fish and fish products
,mercury (1.9 mg/kg - ppm) in chilled swordfish (Xiphias gladius ) from Egypt
154.,information for attention,02/09/2014,03/09/2014,2014.1227,France,food,food additives and flavourings
,arsenic (3281 µg/kg - ppb) in trisodium citate E331 from China
155.,border rejection,28/08/2014,08/10/2014,2014.BJZ,Spain,food,fish and fish products
,mercury (1.6 mg/kg - ppm) in frozen blue shark (Prionace glauca) from Vietnam
156.,information for attention,28/08/2014,29/08/2014,2014.1208,Denmark,food,food additives and flavourings
,arsenic (2.5 mg/kg - ppm) in trisodium citrate E331 from China
157.,information for attention,27/08/2014,06/01/2015,2014.1188,Luxembourg,food,fruits and vegetables
,cadmium (0.39 mg/kg - ppm) in spinach from Belgium
158.,alert,27/08/2014,10/10/2014,2014.1192,Romania,food,meat and meat products (other than poultry)
,cadmium (61.3; 64.9 mg/kg - ppm) in chilled horse meat from Romania
159.,information for follow-up,27/08/2014,02/09/2014,2014.1191,Germany,food,"dietetic foods, food supplements, fortified foods"
,antimony (215 mg/kg - ppm) in food supplement from the Netherlands
160.,alert,22/08/2014,18/09/2014,2014.1178,Belgium,food,fish and fish products
,"mercury (1.81 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam, via the Netherlands"
161.,information for attention,21/08/2014,21/08/2014,2014.1169,Finland,food,food additives and flavourings
,arsenic (6.7; 3.4 mg/kg - ppm) in E 331 - trisodium citrate from China
162.,alert,20/08/2014,26/02/2015,2014.1160,Italy,food,fish and fish products
,mercury (1.2 mg/kg - ppm) in defrozen swordfish (Xiphias gladius) from the Netherlands
163.,alert,20/08/2014,05/09/2014,2014.1158,Italy,food,fish and fish products
,mercury (1.5 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Spain
164.,alert,19/08/2014,29/08/2014,2014.1154,Germany,food,"dietetic foods, food supplements, fortified foods"
,"mercury (0.123 mg/kg - ppm) in food supplement from the United States, via the Netherlands"
165.,information for attention,15/08/2014,15/08/2014,2014.1148,Denmark,food,food additives and flavourings
